"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"POGK",1656,3106,3021,3967,2065,2071,3947,3201,2068,3473,1687,3437,4848,3438,5202,2580,2662,3584,2890,3503
"ARL6IP6",240,680,332,526,281,390,610,496,246,348,298,302,683,453,507,841,442,388,436,762
"WEE1",18,173,30,99,56,78,187,132,52,50,100,99,181,69,52,390,206,53,109,616
"HSPB2",184,111,140,82,153,42,95,119,86,80,59,31,97,60,65,88,67,63,37,337
"IL17RB",983,4513,2701,3215,1827,1434,4294,2857,919,1256,465,1123,2732,2808,1344,2063,1820,1393,2029,3673
"CDKN2C",350,650,777,453,492,247,486,299,218,347,186,254,515,304,730,476,352,306,429,811
"SLC39A11",469,919,1396,786,593,307,1239,836,336,356,341,533,1030,674,790,716,526,637,551,1311
"NYNRIN",440,592,439,682,650,514,631,684,454,405,292,769,723,615,285,728,571,506,732,887
"STARD10",2877,1045,4313,1383,2452,694,1611,1147,826,1247,798,1058,1571,1007,1644,536,678,1424,1198,2143
"SNRNP48",402,658,807,738,425,516,829,842,507,899,460,567,992,779,996,687,698,783,697,1287
"MEX3A",13,106,93,99,42,53,126,170,35,62,9,92,147,75,134,76,60,65,64,119
"FZD9",268,244,339,205,374,71,333,176,81,186,109,110,296,133,185,147,116,147,220,324
"ANO2",97,177,82,154,160,67,198,159,58,131,65,78,129,78,85,317,145,50,131,395
"ITGA11",143,151,166,115,97,119,149,173,93,156,79,163,291,147,173,142,124,96,117,292
"RND2",1671,1208,2327,1582,1834,790,1705,1483,1360,1195,770,2011,1899,1605,1229,1190,1264,1503,2213,2773
"KANK2",541,2351,776,1087,1087,666,2241,1211,651,909,1148,1056,1852,762,1090,4689,3249,701,1222,5842
"NFKBIA",2772,2926,5763,3148,3695,1846,4406,2698,1136,2194,2333,2874,5245,2371,3938,4413,3157,2061,2741,5835
