,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
944,PRR26,369.7002469,0.743953317,0.210753934,3.529961711,0.00041562,0.012616814
1412,MTSS1L,15267.02691,0.744008435,0.190533796,3.904863345,9.43E-05,0.004772284
290,PROC,31.72030696,0.744423444,0.190035048,3.917295537,8.95E-05,0.004624905
1173,PAN2,863.4781524,0.745143785,0.157406564,4.733879996,2.20E-06,0.000433367
515,SHROOM1,534.2585209,0.746140753,0.228794244,3.261186738,0.001109469,0.022193076
1725,CDH26,108.5235997,0.748378397,0.1803015,4.150705324,3.31E-05,0.002532028
257,KRTCAP3,34.61631815,0.74876806,0.243393661,3.07636632,0.002095402,0.033091304
1052,SNORD97,121.1782197,0.749497899,0.254146177,2.949081934,0.003187195,0.042372071
1778,MPST,279.5651323,0.751072201,0.127367944,5.896869938,3.70E-09,4.32E-06
143,CGN,280.6706137,0.751655959,0.253305022,2.967394615,0.003003352,0.041099023
828,PHF19,518.4545464,0.755304802,0.167711959,4.503583441,6.68E-06,0.000872312
853,EDA,73.49929059,0.760068179,0.252803478,3.006557442,0.002642241,0.038385738
1350,SMG1P7,88.27526105,0.766155646,0.21890309,3.499976389,0.000465299,0.013557951
1215,LINC00539,16.82481929,0.766163203,0.246549407,3.107544298,0.001886487,0.031249157
1279,JDP2,475.0480006,0.766933503,0.214353584,3.577889802,0.000346379,0.011216992
363,LIMD1,286.7683066,0.7669394,0.254971437,3.007942414,0.00263023,0.03835905
184,TLR5,68.74906425,0.767060694,0.267457011,2.867977517,0.004131049,0.049006271
1785,TOB2,1685.466457,0.76714895,0.157914276,4.85800885,1.19E-06,0.00029793
1474,SH3GL1P1,178.6384404,0.767744852,0.229729915,3.341945488,0.000831934,0.018716271
1153,RAPGEF3,1857.387045,0.769006748,0.201696923,3.812684587,0.000137465,0.006086715
1316,ARHGAP11A,56.26346255,0.769395397,0.263303132,2.922089802,0.003476913,0.044539936
37,FMO5,100.3239015,0.76957149,0.190902487,4.031228198,5.55E-05,0.003425997
