,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
RGCC,0.830083464,0.000235945,0.678154755,0.001917962,0.589346559,0.033917477
GYS2,0.844233736,0.024569875,0.50699772,0.017812133,0.546926179,0.035842478
DNA2,0.84885943,0.000229148,0.511391746,0.00160019,0.510335494,0.010830728
PRRG4,0.85853285,0.029065548,1.048417967,3.98E-05,1.285638204,4.29E-06
RAMP2-AS1,0.860050603,0.000376499,0.563967188,0.005487436,0.79457537,0.000657993
AJUBA,0.883917466,0.007062105,0.868771082,0.000149,0.907938033,0.001282586
CCDC160,0.890312916,0.016747344,0.607268398,0.000322548,0.815995447,6.61E-06
SLC25A48,0.904229383,0.004102591,1.037831126,5.53E-06,0.842270311,0.001807687
SPACA6P-AS,0.906594166,0.00523004,1.085561529,4.65E-07,0.677339879,0.007131499
RCC1,0.917985979,0.002206405,0.968294135,1.90E-09,0.750115413,1.07E-05
CCDC102A,0.920456173,0.006655903,1.30692214,7.79E-09,0.76759787,0.001869578
C21orf62,0.92798451,0.001309161,0.900118907,0.005133579,1.198410956,0.002052535
CCDC151,0.948929215,0.023855206,0.887774692,2.15E-07,0.453058981,0.017792868
DDIT4,0.959856744,0.003264761,1.438503518,5.30E-09,1.232402697,2.68E-06
ITGA10,0.968496311,0.011954756,1.308607102,2.42E-08,1.053808582,2.78E-06
ANKRD37,0.981394909,0.029385944,0.745831859,4.28E-05,0.664641268,6.36E-05
COL8A2,0.991262532,0.013268988,0.791027491,0.0221,0.878152203,0.037457493
REP15,0.998108449,0.027717133,1.045190259,0.000206903,1.313781845,8.29E-05
NUPR1,0.999461942,0.019373056,1.465389186,6.35E-07,0.93632251,0.00841252
FZD7,1.005361803,0.047918045,0.732812873,0.000356985,0.992564461,0.000110345
TLDC2,1.009321825,0.012238184,0.626273792,0.001285576,0.657926785,0.008460365
FKBP5,1.016800838,0.001174722,0.922183744,0.000474,1.130012279,0.000412353
SLC38A2,1.023618428,3.93E-06,0.687146882,3.45E-05,1.244556558,2.09E-12
CLDN7,1.05061788,0.033798661,1.598847032,8.87E-07,1.300727896,0.000304261
PRKX,1.075447373,1.34E-06,1.015745086,0.000102,0.880915415,0.002541541
SLC5A3,1.096805801,0.006027346,0.727836632,8.18E-05,1.124424513,2.03E-09
CCNA2,1.107800317,0.000376499,0.680712277,0.000412154,0.713900707,0.001824984
C6orf118,1.113486773,0.0002509,1.076941054,6.95E-05,1.069187768,1.56E-05
SPINT1,1.117222338,0.038359526,0.541654883,0.0102,0.610451817,0.017580208
SMTN,1.140341675,0.01035419,1.367306275,8.40E-08,0.902550138,0.002245326
SAMD11,1.156753657,0.020117457,1.330169837,6.71E-05,1.054315401,0.008592112
KLF15,1.179022978,3.16E-12,1.024877341,4.68E-06,0.818298335,0.002930011
HIF3A,1.209694413,0.002531002,1.208783882,1.15E-05,0.821507408,0.019449187
ALOX15B,1.224726896,0.015535826,0.853720699,0.001285747,1.421043017,1.72E-07
LOC101927354,1.239386542,0.017078381,1.379964553,3.49E-07,1.476780962,5.12E-05
